variant,sample_id,ok,label_llm,confidence,phishing_type,reasoning,indicators_found,indicators_not_found,top_factors,prompt_tokens,completion_tokens,latency_ms,error
B_html_probs_osint,1214,True,phish,0.92,credential_harvesting,"The domain bpi-ckn.cc is a typosquat of the legitimate BPI domain (bpi.com.ph), using a .cc TLD and a suspicious subdomain 'ckn'. The page is not in the Tranco top 1M, has no Wayback Machine history, is only 197 days old, and uses only free SSL certificates — all hallmarks of a short-lived phishing site. Although the HTML content is heavily copied from the real BPI site (including meta tags, scripts, and schema.org markup), the URL itself is the strongest indicator of impersonation. The combination of a lookalike domain, no legitimate traffic history, and cloned brand content confirms credential harvesting intent.","['typosquat domain (bpi-ckn.cc vs bpi.com.ph)', 'unusual TLD (.cc) for a Philippine bank', 'domain not in Tranco top 1M', 'no Wayback Machine archival history', 'domain age 197 days (medium-risk)', ""only free SSL certificate issuers (Let's Encrypt/ZeroSSL/Buypass)"", 'cloned BPI brand content (meta tags, schema.org, scripts)', ""suspicious subdomain 'ckn'""]","['password field or login form in HTML', 'credential-harvesting JavaScript (e.g., keyloggers, form grabbers)', 'hidden iframes or obfuscated content', 'fake CAPTCHA or wallet drainer scripts', 'redirect to external site', 'fake browser update or fake store elements']","['typosquat domain with .cc TLD', 'no legitimate traffic or archival history', 'cloned brand content from real BPI site', 'free-only SSL certificates']",3292,441,12358.823710004799,
A_html_probs,516,True,benign,0.95,legitimate,"The domain oppcom.shop does not exhibit typosquatting or lookalike patterns of a known brand; it uses a generic .shop TLD. The HTML content is a standard WordPress/WooCommerce site with Flatsome theme, including legitimate e-commerce scripts (jQuery, WooCommerce, PixelYourSite for Facebook tracking) and no credential-harvesting forms, password fields, or obfuscated JavaScript. The static classifier PhishGraph rates it 0.9% phishing probability, strongly supporting benign. No phishing indicators such as fake login forms, brand impersonation, or wallet drainers were found.","['WordPress/WooCommerce e-commerce platform', 'Flatsome theme assets from CDN', 'Facebook Pixel tracking (PixelYourSite)', 'No password fields or login forms in HTML']","['typosquatting or lookalike domain', 'credential-harvesting forms', 'obfuscated JavaScript', 'hidden iframes', 'brand impersonation', 'fake CAPTCHA', 'wallet drainer scripts', 'fake browser update prompts', 'redirect to external phishing site']","['domain not suspicious', 'legitimate e-commerce framework', 'low PhishGraph score', 'no credential harvesting elements']",3748,339,5013.162094022846,
A_html_probs,29,True,phish,0.85,credential_harvesting,"The domain kucobit88.com is a typosquatting variant of the legitimate KuCoin exchange (kucoin.com), using 'kucobit' instead of 'kucoin' and a different TLD. The page impersonates a cryptocurrency exchange with a login/registration interface, and the HTML includes references to external payment services (Banxa, Simplex, Ramp) that are commonly abused in phishing schemes to lend legitimacy. The presence of a password field and the overall brand impersonation strongly indicate credential harvesting.","['typosquatting domain (kucobit88.com vs kucoin.com)', 'brand impersonation of a cryptocurrency exchange', 'password input field present', 'login/registration form', 'external payment service links (Banxa, Simplex, Ramp) used as trust signals']","['obfuscated JavaScript', 'hidden iframes', 'fake CAPTCHA', 'redirect to external phishing page', 'wallet drainer scripts', 'fake browser update']","['typosquatting domain', 'brand impersonation', 'credential harvesting form']",3746,310,7483.288540010108,
A_html_probs,1418,True,phish,0.85,scam,"The URL uses a suspicious domain (acej.info) with a convoluted path that includes a double-encoded Amazon S3 URL, which is a common technique to hide the true destination. The page content contains a flashing promotional message promising unrealistic returns ('Deposit 2000 USD -> GET 200 000 USD'), which is a classic scam lure. Additionally, the page immediately redirects via JavaScript to another page on the same domain, and includes numerous links to known SEO spam and link-farm services (IndexJump, AIO, Semalt, TrustBurn), indicating the page is part of a fraudulent traffic-generation scheme. No legitimate brand impersonation or credential-harvesting form is present, but the combination of deceptive redirect, unrealistic financial promise, and link spam strongly indicates a scam/phishing operation.","['suspicious domain (acej.info) with no clear legitimate purpose', 'double-encoded Amazon S3 URL in the path', 'immediate JavaScript redirect to another page on the same domain', 'flashing promotional text promising unrealistic financial returns (Deposit 2000 USD -> GET 200 000 USD)', 'numerous links to known SEO spam/link-farm services (IndexJump, AIO, Semalt, TrustBurn)', 'large number of hidden or obfuscated links (many <br> tags and links to /aio/ pages)']","['no password or login form', 'no brand impersonation (no logos, trademarks, or lookalike domains of known brands)', 'no credential-harvesting JavaScript', 'no hidden iframes', 'no fake CAPTCHA', 'no wallet drainer scripts', 'no fake browser update prompts', 'no fake store or checkout page']","['unrealistic financial promise (scam lure)', 'immediate redirect to another page on the same domain', 'presence of SEO spam/link-farm links', 'suspicious domain and URL structure']",3864,479,10893.210143025499,
A_html_probs,2497,True,benign,0.95,legitimate,"The domain bssc.live is not a typosquat of a known brand; it appears to be a legitimate project site for 'Binance Super Smart Chain' with a GitHub repository and testnet explorer. The HTML content is a standard Next.js landing page with no password fields, login forms, credential-harvesting scripts, hidden iframes, or obfuscated content. The static classifier PhishGraph gives a very low phishing probability (4.5%), and the page promotes a blockchain project with technical details and links to external resources, consistent with a legitimate project site.","['Next.js framework with standard structure', 'GitHub repository link', 'Testnet explorer link', 'RPC endpoint link', 'No password or login fields', 'No credential-harvesting JavaScript', 'No hidden iframes', 'No obfuscated content', 'No fake CAPTCHA or wallet drainers', 'No fake browser updates', 'No fake stores']","['Typosquatting in domain', 'IP address in URL', 'Unusual TLD (bssc.live is a legitimate project domain)', 'Free hosting indicators', 'Lookalike of known brand (Binance is referenced but not impersonated)', 'Password fields', 'Login forms', 'Credential-harvesting JavaScript', 'Hidden iframes', ""Brand impersonation (the page clearly states it's a separate project)"", 'Fake CAPTCHA', 'Redirects to malicious sites', 'Obfuscated content', 'Wallet drainer scripts', 'Fake browser update prompts', 'Fake store elements']","['Domain not suspicious', 'No credential harvesting elements', 'Low PhishGraph score', 'Legitimate project content with external links']",3422,453,12145.695517014246,
A_html_probs,1214,True,phish,0.95,credential_harvesting,"The domain 'bpi-ckn.cc' is a typosquat of the legitimate BPI domain 'bpi.com.ph', using a .cc TLD which is unusual for a Philippine bank. The page copies BPI branding, meta tags, and scripts from the real site, but the URL path '/point' is not a known BPI endpoint. The presence of a Google Tag Manager ID and Adobe analytics scripts suggests an attempt to appear legitimate, but the domain mismatch and lack of a login form (which would be expected for a banking site) indicate this is a credential-harvesting page designed to trick users into entering sensitive information.","['typosquatted domain (bpi-ckn.cc vs bpi.com.ph)', 'unusual TLD (.cc) for a Philippine bank', 'brand impersonation (BPI logo, meta tags, schema.org data)', ""URL path '/point' not matching legitimate BPI paths"", 'Google Tag Manager ID (GTM-TM38L5P) copied from real site', 'Adobe analytics scripts copied from real site']","['password field in HTML', 'login form in HTML', 'credential-harvesting JavaScript (e.g., keyloggers)', 'hidden iframes', 'fake CAPTCHA', 'redirect to external site', 'obfuscated content', 'wallet drainer scripts', 'fake browser update prompts', 'fake store elements']","['domain typosquatting and unusual TLD', 'brand impersonation without actual login functionality', 'mismatch between domain and claimed brand']",3063,412,8432.65959600103,
E_poc_2k,516,True,0,0.95,legitimate,"No credential harvesting, no brand impersonation, no suspicious URL patterns. The page is a generic e-commerce site with standard tracking scripts. Both models agree it is benign.",[],"['credential_harvesting_forms', 'brand_impersonation', 'suspicious_url_manipulation', 'urgent_security_alerts', 'obfuscated_javascript', 'hidden_iframes']",,1262,693,14460.459002002608,
E_poc_2k,29,True,1,0.85,brand_impersonation,"Domain mimics KuCoin (kucobit88.com), but content is generic and lacks brand identity. Obfuscated CSS and generic title are suspicious. Models likely misled by truncated HTML.","['Suspicious domain mimicking KuCoin', ""Generic title 'Crypto Exchange'"", 'Obfuscated CSS class names', 'Domain-content inconsistency']","['Visible login form in first 2000 chars', 'Explicit brand logos or trademarks', 'Suspicious external links']",,796,604,8069.128773000557,
E_poc_2k,1418,True,1,0.95,scam,"The page uses URL obfuscation, immediate redirect to a PHP script, a flashing 'get rich quick' scam promise, and a link farm structure. Despite model agreement on benign, the indicators strongly point to a financial scam and click fraud.","['Suspicious URL structure with double encoding', 'Mismatched domain and apparent target', 'JavaScript redirect to PHP script', 'Flashing scam investment lure (Deposit 2000 USD -> GET 200 000 USD)', 'Excessive whitespace and hidden links (link farm)', 'Numeric links for click fraud', 'Low-credibility domain (acej.info)']","['No brand impersonation', 'No credential harvesting form', 'No login or password fields']",,981,713,10469.620518997544,
E_poc_2k,2497,True,1,0.92,brand_impersonation,"Domain bssc.live is not official Binance; page claims to be 'Binance Super Smart Chain' with fake og:url pointing to bssc.binance.org. Brand impersonation is evident, though no credential forms in first 2000 chars. Models missed this due to lack of form-based phishing indicators.","['Suspicious TLD (.live)', 'Domain not matching official Binance', 'Brand impersonation (Binance)', 'Fake og:url (bssc.binance.org)', 'Misleading title and description']","['Credential harvesting forms in first 2000 chars', 'Suspicious scripts or redirects in first 2000 chars']",,858,714,11720.865695999237,
