sample_id,gt,d_label,b_label,d_correct,b_correct,b_confidence,b_reasoning_preview,b_error
922,1,0,0.0,False,False,0.85,"The domain joanneanders.shop is 300 days old, which is not typical of short-lived phishing sites, and the page is a fully functional WordPress/WooCommerce store with legitimate plugins (YITH Wishlist, Contact Form 7, WP User Avatar) and no credential-harvesting forms, password fields, or obfuscated ",
1343,1,0,1.0,False,True,0.85,"The URL uses a subdomain 'facebook-network' on blogspot.com.es, which is a free hosting platform and mimics the Facebook brand. The page title and meta tags claim 'Facebook Network', but the content is a generic Blogger template with no actual Facebook functionality, indicating brand impersonation. ",
745,1,0,0.0,False,False,0.97,"The URL is a legitimate blogspot.com subdomain (cibopassionemente.blogspot.cz) with a 19-year-old domain, listed in Tranco, and the HTML content is a standard Blogger template with no login forms, password fields, credential-harvesting scripts, hidden iframes, or brand impersonation. The page is an ",
1258,1,0,0.0,False,False,0.95,"The page is a static informational mockup that explicitly disclaims affiliation with Trezor. It contains no login forms, password fields, credential-harvesting JavaScript, hidden iframes, or any mechanism to capture user input. The domain is hosted on Cloudflare Pages (AS13335) and has a 5.7-year re",
75,1,0,1.0,False,True,0.92,"The URL uses a Vercel subdomain (ccip-8evowlyjy-chainlinklabs.vercel.app) that mimics the legitimate Chainlink Labs brand, a classic typosquatting pattern. The page loads a Web3Modal wallet connection interface (wcm CSS variables) and preloads many blockchain network icons, indicating it is a fake w",
1953,1,0,1.0,False,True,0.997,"The URL is hosted on a suspicious domain (home.ipconfirmer.com) that is not the legitimate netaddress.com, and the page contains a login form that submits credentials to 'net.php' on the same domain, indicating credential harvesting. The domain is not in the Tranco top 1M, has no Wayback Machine his",
907,1,0,0.0,False,False,0.95,"The URL is a standard Blogspot subdomain (justahaole.blogspot.lu) and the HTML content is a fully legitimate Blogger template with no login forms, password fields, credential-harvesting scripts, or brand impersonation. The page title is 'The mind of a Gemini...' and the content is a personal blog, n",
160,1,0,1.0,False,True,0.75,"The domain goclickcon.consulting is only 208 days old, not in Tranco Top-1M, and has no Wayback Machine history, which are typical of short-lived phishing sites. The HTML content shows a blank page with a spinning loader and 'please wait redirecting...' message, which is a common pattern for phishin",
1792,1,0,1.0,False,True,0.85,"The URL contains a redirect from a legitimate Japanese dental clinic domain (perfectsmile.jp) to an AWS S3 bucket (s3.ap-southeast-2.amazonaws.com/sz-east-1.console.aws.amazon.com001/zeuss.html) that mimics an AWS login page path, a classic phishing technique. The HTML content is an AWS S3 Access De",
2019,1,0,1.0,False,True,0.95,"The domain 'ledger-lis-com-start.pages.dev' is a clear typosquat of the legitimate 'ledger.com/start', using a free hosting platform (pages.dev) and a suspicious subdomain pattern. The HTML content heavily impersonates the Ledger brand, repeatedly referencing 'ledger.com/start' to build trust, but t",
1709,1,0,0.0,False,False,0.95,"The URL is a legitimate Blogspot subdomain (freefornet1-com.blogspot.com.cy) hosting a Blogger blog titled 'Top Insurance'. The HTML contains standard Blogger infrastructure, Google AdSense ads, and no credential-harvesting forms, password fields, or obfuscated scripts. The domain is in the Tranco t",
1892,1,0,0.0,False,False,0.98,"The domain amyrucker.com is 6.5 years old, has 221 Wayback snapshots over 12 years, and resolves to a legitimate ASN. The HTML content is a Kajabi-powered site with standard analytics and video embedding, containing no password fields, login forms, credential-harvesting scripts, hidden iframes, or b",
2139,1,0,1.0,False,True,0.85,"The URL 'en-uphold-login.blogspot.ae' uses a free blogging platform (Blogspot) and a suspicious subdomain that mimics the legitimate Uphold brand, which is a classic phishing pattern. The page content is entirely a generic guide about Uphold login security, lacking any actual login form or interacti",
763,1,0,0.0,False,False,0.95,"The URL is a legitimate Blogger subdomain (tobilobablog.blogspot.lt) with no typosquatting or suspicious TLD. The HTML content is a standard Blogger template with educational content about universities and exams, no password fields, login forms, credential-harvesting scripts, or hidden iframes. The ",
824,1,0,0.0,False,False,0.95,"The URL is a legitimate Blogspot subdomain (cibopassionemente.blogspot.ug) with a canonical link to the .com version, and the HTML content is a standard Blogger template with no login forms, password fields, credential-harvesting scripts, hidden iframes, or brand impersonation. The page appears to b",
1107,1,0,0.0,False,False,0.95,"The domain www.itpeshots.com is 8.1 years old, has 67 Wayback snapshots over 5.5 years, and resolves to a legitimate ASN (AS16509). The HTML content contains standard analytics and tracking scripts (Google Tag Manager, Facebook Pixel, LinkedIn Insight, etc.) and New Relic monitoring, which are typic",
406,1,0,1.0,False,True,0.97,"The domain bridg--trzor-en.pages.dev is a clear typosquat of the legitimate trezor.io, using a double hyphen and misspelling 'trezor' as 'trzor', hosted on a free Cloudflare Pages subdomain. The HTML page impersonates the Trezor brand with a fake 'Connect Device' button and form, but no actual crede",
370,1,0,,False,,0.0,,
2203,1,0,1.0,False,True,0.92,"The domain 'ledgere-com-start.blogspot.tw' is a typosquat of the legitimate 'ledger.com/start' and uses a free blogging platform (Blogspot) with a .tw TLD, which is atypical for a hardware wallet setup page. The HTML content impersonates the Ledger brand, includes a fake screenshot of the real ledge",
728,1,0,0.0,False,False,0.85,"The domain nicejerseysale.com is 268 days old but has 193 Wayback snapshots spanning 15.5 years, indicating a long-standing legitimate site that was recently re-registered or updated. The HTML content shows a fully functional e-commerce store with product categories, currency selector, search, login",
1736,1,0,0.0,False,False,0.95,"The URL path /ing-clientes suggests a possible phishing attempt targeting ING bank customers, but the HTML content is a generic parked domain page from Hostinger with no login forms, credential fields, or brand impersonation. The domain techdiskont.de is registered and has a Wayback history of 512 d",
